name,lat,lon,alt,city,icao,iata
Flying O Airport,34.00939941,-80.26719666,150,Sumter,00SC,
Sw Region Faa Heliport,32.82690048,-97.30580139,598,Fort Worth,00TA,
Tcjc-Northeast Campus Heliport,32.84759903,-97.1894989,600,Fort Worth,00TE,
Ragsdale Road Airport,35.51589966,-85.95359802,1100,Manchester,00TN,
Alpine Range Airport,32.60760117,-97.24199677,670,Everman,00TS,
San Jacinto Methodist Hospital Heliport,29.73769951,-94.98020172,19,Baytown,00TX,
Clear Creek Ranch Airport,37.24779892,-112.8219986,6138,Kanab,00UT,
Vaughan Airport,36.57600021,-78.9991684,551,Alton,00VA,
Groundhog Mountain Airport,36.66329956,-80.49949646,2680,Hillsville,00VI,
Lower Granite State Airport,46.67350006,-117.4430008,719,Colfax,00W,
Howell Airport,47.17839813,-122.7720032,150,Longbranch,00WA,
Northern Lite Airport,44.3042984,-89.05010223,860,Waupaca,00WI,
Hawks Run Airport,46.25,-117.2490005,2900,Asotin,00WN,
Lazy J. Aerodrome,38.82889938,-79.8660965,2060,Beverly,00WV,
L P Askew Farms Airport,33.03340149,-101.9339981,3110,O'Donnell,00XS,
Purkeypile Airport,62.9435997,-152.2700043,1950,Purkeypile,01A,
Providence Seward Medical Center Heliport,60.10587398,-149.446249,120,Seward,01AK,
Ware Island Airport,32.94599915,-86.51390076,344,Clanton,01AL,
Community Hospital of De Queen Heliport,34.04729843,-94.35489655,400,De Queen,01AR,
Yat Heliport,34.60810089,-111.8649979,3300,Camp Verde,01AZ,
Grant Airport,43.34170151,-85.77500153,815,Grant,01C,
Lugo Substation Heliport,34.36824059,-117.3700587,3733,Hesperia,01CA,
Swansboro Country Airport,38.79990005,-120.7340012,2594,Placerville,01CL,
Los Angeles County Sheriff's Department Heliport,34.03779984,-118.1539993,300,Los Angeles,01CN,
St Vincent General Hospital Heliport,39.24530029,-106.2460022,10175,Leadville,01CO,
Berlin Fairgrounds Heliport,41.62730026,-72.72750092,60,Berlin,01CT,
Rybolt Ranch Airport,28.58939934,-81.14420319,55,Orlando,01FA,
Florida Hospital-Altamonte Heliport,28.66640091,-81.37059784,86,Altamonte Springs,01FD,
Cedar Knoll Flying Ranch Airport,28.78190041,-81.15920258,19,Geneva,01FL,
Medical Center Heliport,32.47930145,-84.97910309,319,Columbus,01GA,
The Farm Airport,32.67440033,-82.77110291,375,Wrightsville,01GE,
Stender Airport,41.66109848,-90.74130249,725,Maysville,01IA,
Lava Hot Springs Airport,42.60820007,-112.0319977,5268,Lava Hot Springs,01ID,
Myers Field,39.88499832,-86.50669861,950,Lizton,01II,
Hoopeston Community Memorial Hospital Heliport,40.45859909,-87.65950012,583,Hoopeston,01IL,
Community Hospital Heliport,40.13090134,-85.69580078,890,Anderson,01IN,
William E. Koenig Airport,39.01620102,-90.31819916,670,Dow,01IS,
Hilliard Airpark,30.68630028,-81.90570068,59,Hilliard,01J,
Caldwell Municipal Airport,37.03609848,-97.58640289,1157,Caldwell,01K,
Flying N Ranch Airport,38.54059982,-97.00330353,1485,Lost Springs,01KS,
Lourdes Hospital Heliport,37.05170059,-88.64689636,419,Paducah,01KY,
Barham Airport,32.63899994,-91.7736969,90,Oak Ridge,01LA,
Schumaier Restricted Landing Area,38.12580109,-89.46389771,555,Pinckneyville,01LL,
Country Breeze Airport,30.70599937,-91.07740021,125,Slaughter,01LS,
Compaq Andover Heliport,42.62509918,-71.18009949,140,Andover,01MA,
Annapolis Seaplane Base,38.99919891,-76.45600128,,Annapolis,01MD,
Saint Peter's Seaplane Base,46.77890015,-68.50029755,608,Portage Lake,01ME,
Flow Through Terminal Heliport,43.04949951,-83.67970276,736,Flint,01MI,
Barnes Seaplane Base,47.89960098,-92.55740356,1358,Cook,01MN,
Highway Patrol Troop C Headquarters Heliport,38.64170074,-90.48429871,615,Town and Country,01MO,
Crystal Lakes Resort Airport,48.78910065,-114.8799973,3141,Fortine,01MT,
Topsail Airpark,34.47529984,-77.58139801,65,Holly Ridge,01NC,
Detour Airport,40.84360123,-100.6529999,3000,Wellfleet,01NE,
Moore Airfield,43.64450073,-72.08699799,835,Enfield,01NH,
Albert Guido Memorial Heliport,40.7417984,-74.13710022,10,Newark,01NJ,
Champion Ranch Airport,33.008611,-104.540278,3630,Artesia,01NM,
Lantana Ranch Airport,38.76390076,-119.0270004,4600,Yerington,01NV,
Vassar Hospital Heliport,41.70009995,-73.94960022,100,Poughkeepsie,01NY,
Galion Community Hospital Heliport,40.73059845,-82.8015976,1140,Galion,01OI,
Lawrence Airport,35.29449844,-98.6364975,1525,Eakly,01OK,
Red & White Flying Service Airport,43.11930084,-121.0449982,4346,Silver Lake,01OR,
Pine Heliport,40.6556015,-80.05090332,1215,Mars,01PA,
Bierly(Personal Use) Airport,40.93059921,-77.73889923,960,Bellefonte,01PN,
Nort's Resort Airport,41.59590149,-76.02960205,1040,Meshoppen,01PS,
York Airport,35.03210068,-81.25279999,779,York,01SC,
Thirty Thirty Matlock Office Center Heliport,32.69419861,-97.11579895,630,Arlington,01TA,
Smith Field,32.73759842,-96.4280014,505,Forney,01TE,
Colonial Air Park,34.9958992,-89.73059845,370,Collierville,01TN,
St Joseph Hospital Heliport,32.72850037,-97.32450104,675,Fort Worth,01TS,
Mims Farm Ultralightport,32.38759995,-96.87750244,610,Waxahachie,01TX,
Duckwater Airport,38.85160065,-115.6340027,5124,Duckwater,01U,
La Sal Junction Airport,38.30830002,-109.3960037,6000,La Sal,01UT,
Pickles Airport,39.125,-77.92500305,500,Berryville,01VA,
Willapa Harbor Heliport,46.66320038,-123.8119965,154,South Bend,01WA,
Prehn Cranberry Company Airport,44.00999832,-90.3891983,930,Tomah,01WI,
Whidbey General Hospital Heliport,48.21340179,-122.6849976,103,Coupeville,01WN,
Odyssey Heliport,47.518178,-122.210908,20,Renton,01WT,
Keyhole Airport,44.34719849,-104.810997,4250,Moorcroft,01WY,
Seton Medical Center Hays Heliport,30.007222,-97.853333,715,Kyle,01XA,
Meadowood Ranch Heliport,32.02019882,-95.74549866,500,Athens,01XS,
Rustic Wilderness Airport,61.87689972,-150.0980072,190,Willow,02AK,
Bass Field,30.37150002,-87.76439667,61,Foley,02AL,
Three Rivers Airport,34.82244492,-92.44441986,264,Little Rock,02AR,
Winchester Farm Airstrip,32.37639999,-109.9369965,4200,Willcox,02AZ,
Swepi Beta Platform Ellen Heliport,33.58250046,-118.1289978,122,Huntington Beach,02CA,
Shannon Field,34.12960052,-90.52400208,165,Clarksdale,02CD,
Conover Air Lodge Airport,34.76110077,-119.0589981,5160,Frazier Park,02CL,
Mc Cullough Airport,37.6432991,-106.0469971,7615,Monte Vista,02CO,
Strangers Point Heliport,41.91960144,-72.44450378,540,Ellington,02CT,
Osborn Airfield,28.52669907,-81.87480164,121,Groveland,02FA,
Cuchens Airport,30.642778,-86.123889,215,Defuniak Springs,02FL,
Doug Bolton Field,34.20259857,-83.42900085,884,Commerce,02GA,
Etowah Fields Airport,34.1753006,-84.92440033,710,Euharlee,02GE,
K3 Helipad Heliport,21.36199951,-157.951004,9,Pearl Harbor,02HI,
Boone County Hospital Heliport,42.05609894,-93.87799835,1160,Boone,02IA,
Morgan Ranch Airport,44.55550003,-115.3050003,5634,Cascade,02ID,
King Ultralightport,40.06230164,-86.21050262,925,Westfield,02II,
Diamond P. Field,40.20890045,-85.540802,904,Muncie,02IN,
Condell Medical Center Heliport,42.27460098,-87.95729828,762,Libertyville,02IS,
Jmj Landing Airport,39.22219849,-96.05529785,1170,St Marys,02KS,
Boone National Guard Heliport,38.1833992,-84.89990234,760,Frankfort,02KY,
La State Police Troop G Heliport,32.53129959,-93.66020203,168,Bossier City,02LA,
Windy Hill Heliport,30.14830017,-91.91899872,25,Broussard,02LS,
Cuttyhunk Heliport,41.41960144,-70.92700195,9,Gosnold,02MA,
Old Acton Airfield,43.53730011,-70.92939758,700,Acton,02ME,
Fairplains Airpark,43.15710068,-85.14849854,850,Greenville,02MI,
Greenbush Municipal Airport,48.68330002,-96.19200134,1070,Greenbush,02MN,
Troy Airpark,39.04999924,-91.03350067,650,Troy,02MO,
Watts Field,34.10010147,-90.84680176,153,Rochdale,02MS,
Barrett Field,47.23740005,-111.7419968,3350,Cascade,02MT,
Timber Line Airpark,36.65420151,-93.79740143,1550,Cassville,02MU,
Race City Heliport,35.541111,-80.597778,809,Landis,02NC,
Benes Service Airport,41.07450104,-96.90450287,1550,Valparaiso,02NE,
Iroquois Landing Seaplane Base,44.65710068,-71.21910095,1180,Dummer,02NH,
Penske Heliport,40.55730057,-74.46710205,78,Piscataway,02NJ,
Paiute Meadows Airport,41.30329895,-118.5979996,4443,Winnemucca,02NV,
Hansen Heliport,43.13259888,-75.65550232,435,Durhamville,02NY,
Zimmerman Airport,41.37639999,-83.08329773,614,Fremont,02OH,
Murtha Airport,41.80199814,-80.56539917,950,Conneaut,02OI,
Canon Heliport,35.45840073,-97.52529907,1191,Oklahoma City,02OK,
Rowena Dell Airport,45.68149948,-121.3160019,705,The Dalles,02OR,
Stottle Memorial Heliport,40.40359879,-77.55660248,591,Honey Grove,02P,
Lag Iii Heliport,40.43830109,-79.76999664,1070,Monroeville,02PA,
Peco Berwyn Heliport,40.06959915,-75.4552002,390,Berwyn,02PN,
Cuylers Airport,18.45330048,-66.36689758,15,Vega Baja,02PR,
Hughes Ultralightport,41.90060043,-77.2303009,1700,Tioga,02PS,
Harpers Airport,32.75849915,-81.22480011,111,Estill,02SC,
Wise River Airport,45.76910019,-112.9820023,5830,Wise River,02T,
Matagorda Shore Facility Heliport,28.72139931,-95.87380219,5,Matagorda,02TA,
Baylor Medical Center Heliport,32.395401,-96.86419678,560,Waxahachie,02TE,
Ellis Field,35.7806015,-86.584198,840,Murfreesboro,02TN,
Fwomc Heliport,32.74760056,-97.37000275,684,Fort Worth,02TS,
The Palms At Kitty Hawk Airport,33.37040329,-101.9228821,3235,New Home,02TX,
Lucin Airport,41.36629868,-113.8430023,4412,Lucin,02UT,
The Greenhouse Airport,38.43569946,-77.85720062,320,Culpeper,02VA,
Northstar Aviation Heliport,36.63880157,-82.11669922,1850,Bristol,02VG,
Cawleys South Prairie Airport,47.15230179,-122.0940018,690,South Prairie,02WA,
Beer Airport,45.0318985,-92.65579987,920,Hudson,02WI,
Fowler Field,48.74580002,-119.3190002,2150,Tonasket,02WN,
Seidel Ranch Airport,30.14769936,-97.66280365,510,Elroy,02XS,
Joe Clouds Seaplane Base,60.72722244,-151.132782,150,Kenai,03AK,
Jackson County Hospital Heliport,34.66249847,-86.04720306,628,Scottsboro,03AL,
Hscmh Heliport,34.35760117,-92.78849792,350,Malvern,03AR,
Thompson International Aviation Airport,31.4333992,-110.0839996,4275,Hereford,03AZ,
Grossmont Hospital Heliport,32.77980042,-117.0059967,634,La Mesa,03CA,
Kugel-Strong Airport,40.21250153,-104.7440033,4950,Platteville,03CO,
Lake Persimmon Airstrip,27.35309982,-81.40809631,70,Lake Placid,03FA,
Tharpe Airport,30.8288002,-85.73100281,115,Bonifay,03FD,
Ranger Heliport,26.68370056,-80.18730164,20,West Palm Beach,03FL,
Clarks Dream Strip,39.64419937,-83.01820374,680,Circleville,03I,
East Field,41.58190155,-92.46130371,954,Montezuma,03IA,
Flying Y Ranch Airport,44.79430008,-116.5329971,3180,Council,03ID,
Davis Field Ultralightport,37.9620018,-87.77890015,465,Mount Vernon,03II,
Wix Airport,41.40230179,-87.8167038,750,Monee,03IL,
Heinzman Airport,40.18000031,-86.01249695,850,Arcadia,03IN,
St Anthony's Hospital Heliport,38.90499878,-90.17340088,580,Alton,03IS,
Valley Grain Heliport,39.86470032,-95.26409912,1160,Highland,03KS,
Flying H Farms Airport,37.79169846,-87.54139709,385,Henderson,03KY,
Damien Heliport,30.19960022,-91.12789917,25,Carville,03LA,
Fmc Nr 1 Heliport,32.1590004,-91.70800018,79,Winnsboro,03LS,
Lakeside Marina Seaplane Base,44.32089996,-69.88950348,165,East Winthrop,03M,
Hadley Airport,42.39310074,-72.55200195,150,Hadley,03MA,
Upper Chesapeake Medical Center Heliport,39.52249908,-76.3266983,302,Bel Air,03MD,
Maple Ridge Airport,44.08420181,-70.62729645,556,Harrison,03ME,
Harold Miller Heliport,43.55089951,-83.86219788,585,Bay City,03MI,
Nauerth Land Ranch Airport,43.62519836,-95.22470093,1435,Lakefield,03MN,
Cahoochie Airport,37.8844986,-93.13159943,1010,Urbana,03MO,
Vicksburg Medical Center Heliport,32.31880188,-90.8832016,110,Vicksburg,03MS,
Cascade Airport,47.27080154,-111.7220001,3580,Cascade,03MT,
Mc Donnell Airport,38.49250031,-94.41249847,874,Archie,03MU,
Utirik Airport,11.22200012,169.852005,4,Utirik Island,03N,UTK
Pilots Ridge Airport,34.10430145,-77.90419769,35,Carolina Beach,03NC,
Olafson Brothers Airport,48.62639999,-97.82900238,1045,Edinburg,03ND,
Hyde Ranch Airport,41.54639816,-99.33119965,2430,Comstock,03NE,
Lorden Heliport,42.81539917,-71.12439728,400,Milford,03NH,
At&T Heliport,40.66870117,-74.41069794,360,Berkely Heights,03NJ,
Llama Ranch Airport,40.58440018,-115.2979965,6120,Ruby Valley,03NV,
Talmage Field,40.95840073,-72.71679688,95,Riverhead,03NY,
Gibbs Field,41.41839981,-83.01740265,580,Fremont,03OH,
Marymount Hospital Heliport,41.42089844,-81.59980011,890,Garfield Heights,03OI,
Sahoma Lake Airport,36.04119873,-96.16139984,890,Sapulpa,03OK,
Powwatka Ridge Airport,45.85540009,-117.4840012,3340,Troy,03OR,
Collegeville Heliport,40.16289902,-75.46569824,197,Collegeville,03PA,
M.P. Metals Heliport,41.066861,-76.180806,479,Berwick,03PN,
Ziggy's Field,40.84999847,-77.9056015,1050,Bellefonte,03PS,
Sandy River Airport,45.40179825,-122.2289963,704,Sandy,03S,
Seacoast Medical Center Heliport,33.86500168,-78.66190338,73,Little River,03SC,
Gay Hill Farm Airport,30.26269913,-96.50019836,505,Gay Hill,03TA,
Barronena Ranch Airport,27.49110031,-98.66950226,600,Hebbronville,03TE,
Eagles Landing Heliport,35.92250061,-83.57939911,1000,Sevierville,03TN,
Shannon Medical Center Heliport,31.4598999,-100.4380035,1825,San Angelo,03TS,
M D K Field,29.58160019,-95.30719757,50,Pearland,03TX,
A Z Minerals Corporation Airport,37.12080002,-109.9860001,5315,Mexican Hat,03UT,
Whipoorwill Springs Airport,38.66460037,-77.57969666,250,Nokesville,03VA,
Spangle Field,47.40819931,-117.3720016,2440,Spangle,03WA,
Zink Airport,44.02750015,-88.88089752,880,Berlin,03WI,
Aerostone Ranch Airport,45.875,-120.6699982,2320,Goldendale,03WN,
Creekside Airport,31.31809998,-100.7539978,2100,Mertzon,03XS,
Anniston AHP (Anniston Army Depot),33.62639999,-85.96720123,686,Anniston,04AL,
Saline Memorial Hospital Heliport,34.57400131,-92.582901,430,Benton,04AR,
Chinle Airport,36.15420151,-109.5510025,5515,Chinle,04AZ,
Gray Butte Field,34.56389999,-117.6750031,3020,Palmdale,04CA,
Hunt's Sky Ranch Airport,33.08169937,-116.4410019,2310,Julian,04CL,
Shingle Mill Heliport,41.75510025,-73.05239868,880,Harwinton,04CT,
De Leon Municipal Airport,32.09880066,-98.52529907,1293,De Leon,04F,
Richards Field,25.55870056,-80.51509857,9,Homestead,04FA,
Cross Creek Farms Airport,29.23940086,-81.22200012,30,Ormond,04FL,
Columbus Southwest Airport,39.91120148,-83.188797,920,Columbus,04I,
Middlekoop Airport,41.0882988,-92.05460358,801,Packwood,04IA,
Lanham Field,43.87770081,-116.5370026,2343,Emmett,04ID,
Turkey Run Airport,41.13059998,-84.99410248,765,New Haven,04II,
Schertz Aerial Service - Hudson Airport,40.63750076,-89.00700378,755,Hudson,04IL,
Lake Gage Seaplane Base,41.701389,-85.113056,954,Angola,04IN,
Van Gorder Airport,40.17860031,-88.56900024,728,Mansfield,04IS,
Robinson Industries Heliport,38.97890091,-95.21970367,835,Lawrence,04KS,
Natchez Trace Farm Airport,37.13510132,-85.78939819,710,Hiseville,04KY,
St James Heliport,30.051111,-90.702222,10,Lutcher,04LA,
Brunner Airport,42.13610077,-88.28759766,750,West Dundee,04LL,
La National Guard Heliport,30.44610023,-91.1053009,52,Baton Rouge,04LS,
Goddard Field (Airport),42.80979919,-71.1391983,200,Haverhill,04MA,
Chesapeake City Heliport,39.51810074,-75.8214035,40,Chesapeake City,04MD,
Beech Hill Airport,44.66669846,-69.89389801,625,Mercer,04ME,
Rapids Airway Airport,42.53450012,-84.62830353,880,Eaton Rapids,04MI,
Helblad Airport,47.9858017,-94.68689728,1195,Kelliher,04MN,
Airpark Private Airport,39.30120087,-91.45149994,767,Vandalia,04MO,
Nick's Flying Service Inc Airport,32.9396019,-90.83730316,100,Rolling Fork,04MS,
Pluhar Airport,47.13749778,-106.488095,2715,Cohagen,04MT,
Western Wake Medical Center Heliport,35.73920059,-78.78220367,445,Cary,04NC,
Mc Connell Field Airport,41.15999985,-101.2990036,3035,Sarben,04NE,
Emmanuel Airport,39.59680176,-75.23349762,155,Elmer,04NJ,
Kingston Ranch Airport,35.75550079,-115.6650009,2620,Sandy Valley,04NV,
Klaverack Airport,42.26229858,-73.69619751,250,Hudson,04NY,
Teufel Heliport,45.530833,-123.085556,185,Forest Grove,04OG,
Bossow Airport,41.24769974,-81.10070038,1080,Garrettsville,04OH,
Stillwater Medical Center Heliport,36.11529922,-97.07949829,984,Stillwater,04OK,
Collins Landing Strip,44.74990082,-120.2009964,1500,Mitchell,04OR,
S & C Distribution Center Heliport,39.87929916,-75.22879791,50,Philadelphia,04PA,
Strawbridge & Clothier Exton Heliport,40.0306619,-75.63021,320,Exton,04PN,
Emergency Helipad,34.84059906,-82.60690308,994,Easley,04SC,
Capitol National Bank Building Heliport,30.27104167,-97.74469757,540,Austin,04TA,
Veterans Affairs Medical Center Heliport,29.70019913,-95.38739777,49,Houston,04TE,
Hensley Airpark,36.18330002,-82.67890167,1430,Chuckey,04TN,
Hummingbird Heliport,30.55349922,-97.60610199,690,Hutto,04TS,
Pocock Airport,31.73220062,-97.36889648,565,China Spring,04TX,
Navajo Mountain Airport,37.00830078,-110.7949982,6160,Navajo Mountain Trdng Post,04UT,
Saguache Municipal Airport,38.0990833,-106.1743889,7826,Saguache,04V,
Russell County Medical Center Heliport,36.898,-82.078,2004,Lebanon,04VA,
Manquin Flight Park Ultralightport,37.71440125,-77.21179962,50,Manquin,04VG,
Lightning Bolt Field Airport,44.40110016,-72.26360321,2156,Cabot,04VT,
Field of Dreams Airport,46.02280045,-92.895401,1021,Hinckley,04W,
Ox Meadows Airport,47.58179855,-117.4369965,2345,Spokane,04WA,
Dutch Gap Airstrip,42.52339935,-88.01670074,760,Bristol,04WI,
Stillwater Creek Airport,46.963889,-119.641667,1510,Royal City,04WN,
West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,39.65361111,-79.95611111,1137,Morgantown,04WV,
Napiers Heliport,32.58209991,-97.14250183,625,Mansfield,04XS,
Wasilla Creek Airpark,61.66830063,-149.1880035,620,Palmer,05AK,
Allen Stagefield Army Heliport,31.23119926,-85.64969635,365,Fort Rucker/Wicksburg,05AL,
Ozark Skies Airpark,36.000633,-93.57025,1900,Kingston,05AR,
Yuma Regional Medical Center Heliport,32.68280029,-114.6340027,200,Yuma,05AZ,
Van Buren Seaplane Base,47.15890121,-67.93199921,440,Van Buren,05B,
Lost Hills Sheriff's Station Heliport,34.13779831,-118.7139969,888,Calabasas,05CA,
Pope Valley Airport,38.6106987,-122.3909988,618,Pope Valley,05CL,
Rancho De Aereo Airport,40.2149839,-104.9844228,4978,Mead,05CO,
O And G Heliport,41.77370071,-73.11620331,600,Torrington,05CT,
Melanie's Airport,30.91889954,-86.21829987,295,Florala,05FA,
Aventura Heliport,25.96089935,-80.1391983,6,North Miami Beach,05FD,
Charlton Strip,26.5230999,-81.40830231,36,La Belle,05FL,
Raju Airport,32.07139969,-84.71440125,625,Richland,05GA,
Spotts Field,43.13750076,-93.06829834,1155,Nora Springs,05IA,
Running Creek Ranch Airport,45.91410065,-114.8359985,2969,Grangeville,05ID,
Reichhart Airport,41.02870178,-84.99720001,795,New Haven,05II,
Classic Landings Airport,41.15670013,-88.01670074,635,Bonfield,05IL,
Cooper Airport,39.64199829,-86.5042038,860,Belleville,05IN,
Hardy Airport,39.72589874,-89.26399994,605,Mount Auburn,05IS,
Darbro Field,37.26620102,-95.959198,945,Elk City,05KS,
Cartersville Airport,37.53689957,-84.40720367,1070,Berea,05KY,
Greg's Flying Service Airport,32.26530075,-91.69779968,76,Baskin,05LA,
Midwest Heliport,41.74890137,-87.93509674,710,Willowbrook,05LL,
Grass Roots Airport,31.25219917,-92.47579956,83,Alexandria,05LS,
Pauls Valley General Hospital Heliport,34.71969986,-97.21399689,911,Pauls Valley,05M,
Bentley Heliport,42.69120026,-70.91230011,80,Ipswich,05MA,
Breezecroft Airport,39.25009918,-76.2052002,20,Chestertown,05MD,
Drisko Airport,44.6570015,-67.55919647,70,Jonesboro,05ME,
Portageville Community Heliport,36.42979813,-89.68009949,272,Portageville,05MO,
Va Medical Center Jackson Heliport,32.31890106,-90.16809845,359,Jackson,05MS,
Brunswick Community Hospital Heliport,34.0080986,-78.29109955,63,Supply,05NC,
Mc Kay Airport,41.72219849,-98.30899811,2010,Spalding,05NE,
Stumpfield Heliport,42.9239006,-70.95140076,200,Kensington,05NH,
Paulus Hook Pier Heliport,40.7140007,-74.03150177,7,Jersey City,05NJ,
Oswego County At Pulaski Heliport,43.55199814,-76.09020233,445,Pulaski,05NY,
Dorlon Airpark,41.28839874,-81.96260071,830,Columbia Station,05OI,
Hawk Haven Airport,35.85340118,-97.56749725,1075,Crescent,05OK,
Peacock Ranch Airport,45.44150162,-117.3509979,3500,Enterprise,05OR,
Philadelphia Market Street Heliport,39.95479965,-75.17819977,110,Philadelphia,05PA,
State Police Area Iii Heliport,40.30009842,-76.85800171,485,Harrisburg,05PN,
Mills Brothers Airport,40.14279938,-77.86190033,1210,Burnt Cabins,05PS,
Vernonia Airfield,45.85150146,-123.2419968,647,Vernonia,05S,
Brandes Air Field,29.8090992,-96.26509857,276,Sealy,05TA,
Hilde-Griff Field,30.7220993,-97.79139709,950,Georgetown,05TE,
Thurmond Glenn Field,35.55699921,-89.55290222,285,Covington,05TN,
Dew Drop Airport,33.12929916,-97.3585968,750,Justin,05TS,
Circle 'A' Ranch Airport,32.12919998,-97.40419769,608,Blum,05TX,
Oljato Airport,37.03329849,-110.3170013,4838,Oljato,05UT,
Blanca Airport,37.41109848,-105.552002,7720,Blanca,05V,
Providence Airport,37.2242012,-78.41860199,445,Farmville,05VA,
Port of Highgate Springs Heliport,45.01330185,-73.08670044,68,Highgate Springs,05VT,
Sacred Heart Medical Center Helistop,47.64820099,-117.4140015,2220,Spokane,05WA,
Ames Private Airport,42.65110016,-88.74590302,958,Darien,05WI,
Flat Creek Field,48.702222,-118.0475,1570,Kettle Falls,05WN,
Johnson Memorial Airport,33.07929993,-91.54319763,105,Wilmot,05XS,
Henning Municipal Airport,46.30379868,-95.4394989,1455,Henning,05Y,
June Lake Airpark,61.627619,-149.575331,425,Wasilla,06AK,
Brown Stagefield Army Heliport,31.38839912,-85.97239685,415,Fort Rucker/New Brockton,06AL,
Bondair Airport,35.54449844,-92.18489838,499,Higden,06AR,
Mercy Gilbert Medical Center Heliport,33.28580093,-111.7529984,1280,Gilbert,06AZ,
Lucky Landing Marina and Seaplane Base,44.9070015,-68.80500031,115,Bangor,06B,
Sce Solar I Heliport,34.87080002,-116.8339996,1942,Yermo,06CA,
Abc7-Tv Heliport,35.15719986,-118.2890015,520,Glendale,06CL,
Jecan Airport,37.38750076,-103.6910019,5100,Branson,06CO,
William P Gwinn Airport,26.90839958,-80.3289032,28,Jupiter,06FA,
Grass Roots Airpark,28.64170074,-81.88500214,105,Mascotte,06FD,
Morton Plant Hospital Heliport,27.95339966,-82.8042984,3,Clearwater,06FL,
Smith Heliport,33.7533989,-84.16210175,1065,Redan,06GA,
Patoka Reservoir Landing Area Seaplane Base,38.4333992,-86.69110107,536,French Lick,06I,
Rich Field,41.84140015,-91.83429718,880,Walford,06IA,
Larkin Airport,43.46269989,-116.3590012,2750,Kuna,06ID,
Humm Airport,41.59949875,-88.86990356,708,Earlville,06IL,
Ellis Fly-In Airport,39.28279877,-87.3035965,575,Blackhawk,06IN,
Sinele Strip,40.54639816,-91.27429962,695,Nauvoo,06IS,
Riverside Hospital Airlift Heliport,37.69580078,-97.37249756,1332,Wichita,06KS,
Falcon Heliport,37.52590179,-83.34519958,751,Jackson,06KY,
Panther Helicopters Inc Heliport,29.84600067,-90.02780151,,Belle Chasse,06LA,
Hammersmith Heliport,41.87360001,-88.49690247,812,Elburn,06LL,
Tembec Heliport,30.70789909,-91.32019806,85,St Francisville,06LS,
